"id";"niveau";"matiere";"theme";"chapitre";"ordre";"difficulte";"titre";"contexte";"question";"mots_cles";"correction";"xp"
"MT1-11";"terminale";"management";"Thème 1 : Les organisations et l'activité de production de biens et de services";"Quels choix d'organisation de la production ?";"11";"4";"Flexibilité chez Zara";"Le succès de Zara (groupe Inditex) repose sur un modèle de production unique : renouveler les collections en boutique toutes les 3 semaines en s'appuyant sur des usines de proximité (Espagne, Portugal) capables de réagir instantanément aux ventes constatées.";"Analysez la pertinence de cette gestion logistique (flux tendus) face aux caractéristiques du marché de la mode.";"logistique | flexibilité | réactivité | flux tendus";"Le marché de la mode est très volatil avec des cycles de vie de produits extrêmement courts. La production en flux poussés (produire de gros volumes à l'avance en Asie) engendre des invendus coûteux. Le choix de Zara (flux tendus et usines de proximité) garantit une hyper-réactivité, minimisant les coûts de stockage et les soldes. La pertinence est totale : la flexibilité devient le principal avantage concurrentiel.";"40"
"MT1-12";"terminale";"management";"Thème 1 : Les organisations et l'activité de production de biens et de services";"Quels produits pour quels besoins ?";"12";"4";"Business model BlaBlaCar";"BlaBlaCar ne possède aucun véhicule ni chauffeur. Son rôle est de mettre en relation des conducteurs particuliers et des passagers via une plateforme numérique, en prélevant une commission sur chaque trajet réservé.";"Diagnostiquez le modèle économique de BlaBlaCar et montrez comment il génère de la création de valeur.";"modèle économique | plateforme | intermédiation | création de valeur";"Le modèle économique est un modèle de plateforme d'intermédiation (ou économie collaborative). La création de valeur financière provient des frais de service (commissions) sans supporter les coûts fixes de transport (pas de flotte à entretenir). La valeur perçue repose sur un service simple, sécurisé, économique pour les usagers et avec un fort impact environnemental positif (optimisation des sièges vides).";"40"
"MT1-13";"terminale";"management";"Thème 1 : Les organisations et l'activité de production de biens et de services";"Quelles ressources pour produire ?";"13";"5";"Stratégie EDF";"EDF doit démanteler ses anciennes centrales nucléaires et investir des milliards dans les énergies renouvelables (éolien, solaire) et les nouveaux réacteurs EPR, ce qui nécessite de modifier en profondeur son allocation de ressources sur les 20 prochaines années.";"Construisez une argumentation justifiant les choix de restructuration des ressources tangibles et intangibles qu'EDF doit opérer pour réussir cette transition.";"décision stratégique | ressources | financement | investissement à long terme";"Argumentation : 1. Ressources financières : Les besoins d'investissement sont gigantesques. EDF devra mobiliser des financements externes (obligations vertes, soutien de l'État actionnaire). 2. Ressources intangibles : EDF doit pivoter d'une culture purement nucléaire vers les renouvelables (R&D, rachat de brevets, GPEC pour former de nouveaux ingénieurs). 3. Ressources tangibles : Cession d'actifs vieillissants au profit de nouveaux parcs éoliens/solaires. La survie d'EDF dépend de sa capacité à piloter simultanément la fin de vie d'un outil industriel et l'émergence d'un nouveau, exigeant une réallocation totale du capital.";"50"
"MT1-14";"terminale";"management";"Thème 1 : Les organisations et l'activité de production de biens et de services";"Les transformations numériques, une chance pour la production ?";"14";"5";"Workflow Doctolib";"Doctolib souhaite intégrer une nouvelle fonctionnalité : la pré-consultation numérique où un algorithme pose des questions médicales de base au patient avant son rendez-vous physique, afin de générer une fiche synthétique pour le médecin.";"Formulez un diagnostic sur l'impact de ce nouveau flux de travaux (workflow) sur l'organisation du travail du médecin et la valeur perçue par le patient.";"workflow | transformation numérique | automatisation | santé";"Diagnostic : Pour le médecin (organisation du travail), ce workflow automatisé permet un gain de temps précieux lors de la consultation (suppression des questions administratives), favorisant un diagnostic plus rapide (efficience). Pour le patient (valeur perçue), cela donne un sentiment d'une prise en charge modernisée et personnalisée avant même le RDV. Cependant, le risque réside dans la déshumanisation du contact initial et la gestion sécurisée des données de santé très sensibles.";"50"
"MT1-15";"terminale";"management";"Thème 1 : Les organisations et l'activité de production de biens et de services";"Comment assurer un fonctionnement cohérent ?";"15";"5";"Réorganisation La Poste";"Face à la chute drastique du volume du courrier papier, La Poste transforme ses facteurs en livreurs de colis d'e-commerce et prestataires de services de proximité (visite aux personnes âgées, portage de repas).";"Élaborez les axes majeurs du plan d'action que la direction doit mener pour assurer le fonctionnement cohérent de cette nouvelle organisation du travail.";"organisation du travail | adaptation | polyvalence | stratégie de rupture";"Axes du plan d'action : 1. Ajustement des mécanismes de coordination : Les tournées doivent être repensées avec des outils numériques de routage en temps réel (standardisation des procédés par les algorithmes). 2. GPEC et formation : Accompagner les facteurs (enrichissement des tâches) pour développer des compétences relationnelles (services aux seniors) et logistiques (colis). 3. Adhésion : Communiquer sur le sens de cette mutation pour rassurer le personnel face au changement d'identité de leur métier historique, afin d'éviter une rupture du climat social.";"50"
"MT2-01";"terminale";"management";"Thème 2 : Les organisations et les acteurs";"Comment fédérer les acteurs de l'organisation ?";"1";"1";"Culture d'entreprise Accor";"Le groupe hôtelier Accor promeut fortement le concept de 'Heartist' (contraction de Heart et Artist) auprès de ses collaborateurs. L'objectif est que chaque employé laisse s'exprimer sa personnalité pour offrir un accueil chaleureux et unique aux clients.";"Identifiez la notion de management illustrée ici et précisez son utilité pour l'organisation.";"culture de l'organisation | valeurs partagées | cohésion | implication";"Il s'agit de la culture de l'organisation. Promouvoir le concept de 'Heartist' permet de diffuser des valeurs partagées au sein des hôtels Accor. L'utilité est de fédérer les salariés autour d'une vision commune de l'hospitalité, d'augmenter leur implication au travail et de se différencier de la concurrence par une qualité de service unique.";"10"
"MT2-02";"terminale";"management";"Thème 2 : Les organisations et les acteurs";"Comment fédérer les acteurs de l'organisation ?";"2";"1";"Intérêts des acteurs Mairie de Paris";"La Mairie de Paris a décidé de piétonniser plusieurs grandes avenues. Les associations écologistes s'en félicitent, tandis que les commerçants locaux craignent une baisse de leur chiffre d'affaires due aux difficultés d'accès pour les clients motorisés.";"Caractérisez les relations entre ces différentes parties prenantes.";"intérêts divergents | parties prenantes | acteurs externes | conflit";"Il s'agit d'une situation où les intérêts des acteurs externes sont divergents, voire conflictuels. L'association écologiste recherche une amélioration de la qualité de vie et de l'environnement (intérêt sociétal), alors que les commerçants poursuivent un objectif de rentabilité économique. La Mairie doit arbitrer et gérer ces tensions lors de sa prise de décision.";"10"
"MT2-03";"terminale";"management";"Thème 2 : Les organisations et les acteurs";"Comment fédérer les acteurs de l'organisation ?";"3";"1";"Style de direction Free / Iliad";"Xavier Niel, fondateur de Free, est connu pour prendre les décisions stratégiques finales de manière très directe. Il fixe le cap de manière audacieuse et exige de ses équipes des résultats rapides, tout en assumant seul la responsabilité des échecs.";"Caractérisez le style de direction décrit dans cette situation.";"style de direction | leadership | autoritaire | prise de décision";"Le style de direction est principalement autoritaire (ou paternaliste / charismatique selon la proximité). Le pouvoir de décision est fortement centralisé autour de la personnalité du dirigeant fondateur. Ce style permet une grande réactivité et des décisions tranchées, bien adaptées à un marché des télécoms très agressif.";"10"
"MT2-04";"terminale";"management";"Thème 2 : Les organisations et les acteurs";"Comment fédérer les acteurs de l'organisation ?";"4";"2";"QVT chez Google France";"Google France offre à ses salariés des espaces de détente, des salles de sport gratuites, des repas sains à volonté et une grande flexibilité des horaires de travail. Les ingénieurs y passent de longues heures sans ressentir la pression traditionnelle.";"Analysez le lien entre ces dispositions de Qualité de Vie au Travail (QVT) et la performance recherchée par Google.";"qualité de vie au travail | motivation | implication | performance sociale";"Google investit massivement dans la QVT pour répondre aux attentes de salariés très qualifiés. Ces avantages matériels et organisationnels sont des facteurs de motivation externes qui favorisent le bien-être. Un salarié épanoui est plus créatif, plus impliqué, et moins tenté de partir chez un concurrent (réduction du turnover). La performance sociale nourrit ici directement la performance de l'entreprise (innovation).";"20"
"MT2-05";"terminale";"management";"Thème 2 : Les organisations et les acteurs";"Les transformations numériques, vecteur d'amélioration de la relation clients ?";"5";"2";"Parcours client IKEA";"Un client d'IKEA peut configurer sa cuisine en 3D sur l'application mobile depuis chez lui, la sauvegarder sur son compte, puis venir en magasin pour qu'un vendeur affine le projet sur tablette avant de valider la commande.";"Démontrez comment les outils numériques améliorent ici l'expérience d'achat du consommateur.";"digitalisation | parcours client | interactivité | omnicanalité";"Le numérique permet la digitalisation du parcours client et crée une expérience omnicanale fluide (sans couture). Le client passe du virtuel (application) au physique (magasin) sans perdre ses données. Cela favorise l'interactivité, permet à l'entreprise de mieux connaître les besoins exacts du client, et au vendeur de conclure la vente avec un gain de temps considérable.";"20"
"MT2-06";"terminale";"management";"Thème 2 : Les organisations et les acteurs";"Les transformations numériques, vecteur d'amélioration de la relation clients ?";"6";"2";"Administration électronique URSSAF";"L'URSSAF a mis en place un portail 100% en ligne permettant aux auto-entrepreneurs de déclarer leur chiffre d'affaires et de payer leurs cotisations en trois clics chaque mois, remplaçant les formulaires papier.";"Identifiez les avantages de cette administration électronique pour l'usager et pour l'organisme public.";"administration électronique | simplification | usager | efficience";"Pour l'usager : simplification extrême des démarches, gain de temps, accessibilité 24h/24, traçabilité des paiements. Pour l'URSSAF : automatisation des processus, réduction massive des coûts de traitement papier, diminution des erreurs de saisie manuelle et recouvrement plus rapide des cotisations (efficience du service public).";"20"
"MT2-07";"terminale";"management";"Thème 2 : Les organisations et les acteurs";"Communique-t-on de la même manière avec tous les acteurs ?";"7";"3";"Communication interne Sanofi";"Lors de la fusion de deux départements de recherche, les équipes de Sanofi étaient démotivées par un sentiment d'opacité. La direction a lancé un réseau social d'entreprise interne et des webinaires hebdomadaires de questions-réponses avec le PDG.";"Diagnostiquez le rôle de cette stratégie de communication interne face à la situation de crise.";"communication interne | adhésion | transparence | outils collaboratifs";"La fusion a généré de l'anxiété et une perte de repères. La stratégie de communication interne (réseau social + webinaires) a un rôle fonctionnel de transparence et un rôle social d'adhésion. En permettant une communication descendante claire (les explications du PDG) et ascendante (les Q&A des salariés), l'entreprise désamorce les rumeurs, restaure la confiance et favorise la cohésion des nouvelles équipes fusionnées.";"30"
"MT2-08";"terminale";"management";"Thème 2 : Les organisations et les acteurs";"Communique-t-on de la même manière avec tous les acteurs ?";"8";"3";"Communication financière BNP Paribas";"BNP Paribas publie chaque trimestre un rapport d'activité très détaillé, des infographies de synthèse sur son site web et organise des conférences téléphoniques avec les analystes financiers du monde entier.";"Identifiez les cibles de cette communication financière et expliquez l'importance stratégique de cette démarche.";"communication financière | transparence | actionnaires | investisseurs";"Les cibles sont les acteurs financiers : actionnaires (actuels et potentiels), analystes boursiers, agences de notation et banques partenaires. L'enjeu est stratégique : une communication financière transparente, fiable et régulière permet de rassurer les marchés sur la santé de la banque, d'attirer des investisseurs, de soutenir le cours de l'action en bourse et de respecter les contraintes légales d'information financière.";"30"
"MT2-09";"terminale";"management";"Thème 2 : Les organisations et les acteurs";"Les transformations numériques, vecteur d'amélioration de la relation clients ?";"9";"3";"Big Data Netflix";"L'algorithme de Netflix analyse le temps de visionnage, les pauses, et les types de séries regardées par chaque utilisateur pour créer des recommandations hyper-personnalisées et même décider des futures séries à produire (comme House of Cards).";"Évaluez comment l'exploitation des traces numériques modifie la définition de l'offre chez Netflix.";"traces numériques | comportement du consommateur | big data | personnalisation";"Netflix passe d'une logique d'offre de masse à un marketing individualisé. L'exploitation intensive des traces numériques (Big Data) offre une connaissance client prédictive parfaite. Cela permet non seulement de personnaliser l'interface (fidélisation maximale), mais surtout de limiter le risque d'échec lors de la création de nouveaux produits, car l'offre est littéralement définie par les comportements constatés des abonnés.";"30"
"MT2-10";"terminale";"management";"Thème 2 : Les organisations et les acteurs";"Comment fédérer les acteurs de l'organisation ?";"10";"4";"Travail collaboratif Airbus";"Airbus fabrique ses avions en répartissant la production entre l'Allemagne, l'Espagne, le Royaume-Uni et la France. Les ingénieurs doivent travailler simultanément sur les mêmes plans 3D sans jamais se rencontrer physiquement.";"Proposez et justifiez une solution d'outils de coopération pour surmonter cette contrainte géographique.";"coopération | outils collaboratifs | mode projet | intelligence collective";"Airbus doit déployer un environnement de travail collaboratif intégré (Cloud computing sécurisé et PLM - Product Lifecycle Management). Cela inclut des plateformes de partage de maquettes 3D en temps réel, des outils de messagerie instantanée, et des visioconférences immersives. Ces modes d'action coopératifs virtuels sont indispensables pour synchroniser les équipes (mode projet), partager l'intelligence collective et éviter les erreurs d'assemblage fatales entre pays.";"40"
"MT2-11";"terminale";"management";"Thème 2 : Les organisations et les acteurs";"Comment fédérer les acteurs de l'organisation ?";"11";"4";"Fidélisation chez Ubisoft";"Les développeurs de jeux vidéo chez Ubisoft sont très sollicités par des studios concurrents américains offrant des salaires 30% plus élevés. Ubisoft ne peut pas s'aligner financièrement sur ces offres.";"Construisez un argumentaire managérial basé sur des facteurs de motivation alternatifs pour fidéliser ces talents.";"fidélisation | facteurs de motivation | qualité de vie au travail | rémunération";"Argumentaire : Si la rémunération (facteur externe) est plafonnée, Ubisoft doit miser sur les facteurs de motivation internes et la marque employeur. 1. Contenu du travail : offrir l'opportunité de travailler sur des franchises mondiales prestigieuses (Assassin's Creed) avec des technologies de pointe. 2. Ambiance et QVT : proposer une culture d'entreprise forte, créative, avec du télétravail flexible et des locaux innovants. 3. Évolution : garantir des formations continues et des parcours de carrière rapides vers des postes de Lead Designer.";"40"
"MT2-12";"terminale";"management";"Thème 2 : Les organisations et les acteurs";"Comment fédérer les acteurs de l'organisation ?";"12";"4";"Arbitrage TotalEnergies";"Lors d'une année de profits records, le conseil d'administration de TotalEnergies souhaite augmenter les dividendes versés aux actionnaires. Simultanément, les syndicats de salariés menacent de faire grève s'ils n'obtiennent pas d'augmentation générale des salaires face à l'inflation.";"Proposez une solution de gestion permettant à la direction de concilier ces attentes divergentes.";"intérêts divergents | conflit | actionnaires | salariés | arbitrage";"La direction est face à un arbitrage classique entre performance financière (actionnaires) et performance sociale (salariés). Solution : Valider une hausse modérée des dividendes pour rassurer les marchés, et octroyer en parallèle une prime exceptionnelle de pouvoir d'achat (ou participation/intéressement) aux salariés. Lier l'effort financier aux résultats exceptionnels permet de récompenser les deux parties prenantes sans augmenter définitivement les coûts fixes (salaires de base).";"40"
"MT2-13";"terminale";"management";"Thème 2 : Les organisations et les acteurs";"Communique-t-on de la même manière avec tous les acteurs ?";"13";"5";"Gestion de crise Amazon";"Une enquête d'un grand média dénonce des conditions de travail dégradées et des destructions de produits neufs dans les entrepôts logistiques d'Amazon en France. La polémique s'enflamme sur les réseaux sociaux (bad buzz).";"Élaborez la stratégie de communication externe qu'Amazon doit déployer pour protéger sa e-réputation.";"communication de crise | e-réputation | communication externe | bad buzz";"Stratégie de crise : 1. Réactivité : communiquer immédiatement (communiqué de presse) pour ne pas laisser le vide s'installer. 2. Transparence : reconnaître les faits avérés, contester les exagérations avec des chiffres précis. 3. Preuve (Earned/Owned media) : inviter la presse et des influenceurs à visiter des entrepôts pour montrer la réalité (journées portes ouvertes). 4. Actions correctives : annoncer publiquement de nouveaux partenariats avec des associations pour donner les invendus plutôt que de les détruire, transformant la crise en opportunité RSE.";"50"
"MT2-14";"terminale";"management";"Thème 2 : Les organisations et les acteurs";"Les transformations numériques, vecteur d'amélioration de la relation clients ?";"14";"5";"Stratégie omnicanale Sephora";"Sephora réalise d'excellents résultats sur son site e-commerce, mais observe une baisse de fréquentation physique de ses magasins. Le comité de direction hésite : fermer des magasins pour tout miser sur le web, ou réinvestir dans le réseau physique.";"Argumentez en faveur du maintien et de la modernisation des boutiques physiques dans une logique d'expérience client globale.";"omnicanalité | digitalisation de la relation client | expérience de consommation";"Argumentation : Fermer les boutiques serait une erreur car la cosmétique nécessite du test, du conseil humain et de l'expérience sensorielle. Sephora doit adopter une stratégie omnicanale où le physique et le digital se renforcent. Les boutiques doivent être digitalisées (miroirs virtuels, bornes de commande) et devenir des lieux d'expérience (masterclass maquillage, click & collect). Le magasin physique n'est plus un simple lieu de stock, mais la vitrine événementielle de la marque employeur et de la relation client.";"50"
"MT2-15";"terminale";"management";"Thème 2 : Les organisations et les acteurs";"Comment fédérer les acteurs de l'organisation ?";"15";"5";"Conduite du changement SNCF Réseau";"SNCF Réseau doit faire face à l'ouverture à la concurrence européenne. Les agents historiques, attachés au monopole d'État, vivent cette transformation comme une menace pour leur statut et leur culture d'entreprise. Une grève dure se prépare.";"Proposez un plan managérial systémique (direction, communication, QVT) pour fédérer les salariés autour de ce changement subi.";"cohésion | conduite du changement | culture de l'organisation | dialogue social";"Plan systémique : 1. Direction et Dialogue social : Le management doit passer d'un style autoritaire/bureaucratique à un style consultatif. Organiser des tables rondes avec les syndicats pour co-construire les nouvelles méthodes de travail (éviter l'approche top-down). 2. Culture : Faire évoluer la culture interne en valorisant l'expertise historique des cheminots comme un atout concurrentiel face aux nouveaux entrants. 3. Communication interne et QVT : Rassurer sur le maintien des acquis fondamentaux, tout en finançant des formations massives pour monter en compétences. L'enjeu est de transformer la peur de la concurrence en défi collectif stimulant.";"50"
"MT3-01";"terminale";"management";"Thème 3 : Les organisations et la société";"Les organisations peuvent-elles s'affranchir des questions de société ?";"1";"1";"Mécénat chez LVMH";"Le groupe LVMH a versé un don exceptionnel de 200 millions d'euros pour la reconstruction de la cathédrale Notre-Dame de Paris à la suite de l'incendie de 2019. Le groupe soutient également de nombreuses expositions artistiques.";"Identifiez cette pratique et déduisez-en l'objectif poursuivi par l'organisation envers la société.";"mécénat | organisation civique | image | intérêt général";"Il s'agit d'une action de mécénat (soutien financier, humain ou matériel sans contrepartie directe explicite). LVMH s'inscrit ainsi comme une organisation civique. L'objectif est de participer à la préservation du patrimoine (intérêt général), tout en renforçant son image institutionnelle de leader français responsable, ancré dans l'art et l'histoire.";"10"
"MT3-02";"terminale";"management";"Thème 3 : Les organisations et la société";"Les changements de modes de vie s'imposent-ils aux organisations ?";"2";"1";"Modes de consommation Vinted";"L'application Vinted permet à des millions de particuliers de vendre et d'acheter des vêtements de seconde main directement depuis leur smartphone, contournant les magasins traditionnels d'habillement.";"Caractérisez ce nouveau mode de consommation qui bouleverse le secteur textile.";"modes de consommation | économie collaborative | économie circulaire";"Ce modèle repose sur l'économie collaborative (mise en relation de pair à pair via une plateforme) et l'économie circulaire (réemploi, seconde main, lutte contre le gaspillage). Ce changement de mode de vie, privilégiant l'usage et l'anti-consumérisme au neuf, s'impose aux marques de prêt-à-porter classiques qui voient leurs ventes baisser.";"10"
"MT3-03";"terminale";"management";"Thème 3 : Les organisations et la société";"Les transformations numériques, de nouvelles responsabilités ?";"3";"1";"Données personnelles CNIL";"Suite à une plainte, la CNIL a lourdement sanctionné une entreprise de e-commerce car cette dernière conservait les numéros de carte bancaire de ses clients sans leur consentement clair, dans une base de données mal sécurisée.";"Repérez le cadre réglementaire enfreint par l'entreprise et la nature de sa responsabilité.";"données personnelles | RGPD | protection | responsabilité";"L'entreprise a enfreint le RGPD (Règlement Général sur la Protection des Données). L'organisation a manqué à sa responsabilité juridique et éthique de protection des données de ses usagers (défaut de consentement, défaut de sécurité), démontrant que la numérisation crée de strictes obligations de conformité.";"10"
"MT3-04";"terminale";"management";"Thème 3 : Les organisations et la société";"Les organisations peuvent-elles s'affranchir des questions de société ?";"4";"2";"Éthique Ben & Jerry's";"La marque de glaces Ben & Jerry's s'approvisionne en cacao, sucre et vanille uniquement via le commerce équitable, garantissant un revenu décent aux petits producteurs mondiaux. Elle milite également activement pour les droits des réfugiés.";"Diagnostiquez la manière dont cette entreprise intègre l'éthique dans sa stratégie.";"éthique | RSE | commerce équitable | valeurs";"Ben & Jerry's place l'éthique et la RSE au cœur de son business model. L'entreprise ne s'affranchit pas des questions de société, elle s'en empare (rémunération juste au Sud, militantisme). Ce n'est pas du simple 'social washing', car ces valeurs impactent directement sa chaîne d'approvisionnement (commerce équitable) et forgent une identité de marque militante fortement appréciée par sa cible.";"20"
